00200,1
00800,1169
00810,9077
00812,5777
00813,66
00820,5125
00822,1484
00828,264
00830,4730
00832,1550
00835,1442
00836,1450
00837,982
00840,83
00845,253
00846,96
00847,137
00850,2397
00852,361
00853,505
00854,134
00860,765
00862,76
00870,7952
00871,1
00872,820
00880,1381
00885,336
00886,391
02000,8346
02007,1606
02008,2519
02009,3736
02010,10390
02011,9122
02014,224
02015,2672
02016,5097
02017,2425
02018,4114
02019,2898
02020,3258
02021,6665
02022,4765
02023,3526
02024,5034
02025,3452
02026,13606
02027,4127
02028,2234
02029,4318
02030,5230
02031,13866
02032,6006
02033,4199
02034,8405
02035,11484
02036,8375
02037,5744
02038,3768
02039,3026
02040,7992
02041,6844
02042,7329
02043,1985
02044,2581
02045,2349
02046,8930
02047,4695
02048,2986
02049,4144
02050,1960
02060,6561
02061,2667
02062,2672
02063,2290
02064,4001
02065,10707
02066,10813
02067,8394
02068,6199
02069,4699
02070,4523
02071,4229
02072,2248
02073,5420
02074,7653
02075,6481
02076,7835
02077,11288
02079,2380
02080,599
02081,1712
02082,1722
02083,832
02084,1328
02085,4143
02086,4546
02087,4546
02088,11137
02089,5302
02090,6456
02092,2352
02093,8204
02094,2551
02095,6855
02096,5934
02097,6014
02099,13887
02100,7042
02101,6722
02102,1438
02103,3821
02104,1601
02105,893
02106,3736
02107,5861
02108,1206
02109,1
02110,3472
02111,5307
02112,9319
02113,6738
02114,6846
02115,2939
02116,2000
02117,6509
02118,7242
02119,3524
02120,6782
02121,8836
02122,11347
02125,4813
02126,5420
02127,985
02128,204
02130,2815
02131,7844
02132,3370
02133,3364
02134,4080
02135,7574
02136,1511
02137,6123
02138,2871
02140,2860
02141,6510
02142,5432
02143,2359
02144,7862
02145,20074
02146,5814
02147,11485
02148,17694
02150,6207
02151,7212
02152,2792
02153,15644
02154,10551
02155,6032
02156,3545
02157,1149
02158,2500
02159,1582
02160,9182
02161,7888
02162,4654
02163,3277
02164,5960
02165,9848
02166,13118
02167,1959
02168,9141
02170,22726
02171,8276
02173,3415
02176,9727
02177,3261
02190,6880
02191,1814
02192,4023
02193,4483
